"brand_search","food_code","product_name","maker","category_1","category_3","serving_size","calories","protein_g","sugar_g","sodium_mg","saturated_fat_g","report_number","updated_at"
"고메","P116-302030200-0020","고메넛츠 블라썸","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","627.000","20.00","6.67","23.00","6.67","2016036852342","2026-05-07"
"고메","P116-302030200-0732","고메넛츠 스위트 블라썸","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","660.000","16.00","4.00","0.00","11.20","2016036852358","2026-05-07"
"고메","P116-302030200-1591","고메넛츠 퓨어","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","638.000","18.75","6.25","0.00","4.38","2016036852381","2026-05-07"
"고메","P116-302030200-0623","고메넛츠 프로틴","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","612.000","20.00","8.00","92.00","6.40","2016036852375","2026-05-07"
"고메","P116-302030200-0018","고메넛츠 Ver.2","㈜오트리푸드빌리지","농산가공식품류","땅콩 또는 견과류가공품","100g","630.000","18.52","7.41","0.00","3.70","2016036852330","2026-05-07"
"고메","P112-010001400-0011","고메담 한우 약고추장","(주)동선식품","장류","기타장류","100g","193.000","6.70","16.70","620.000","1.30","2022069600635","2026-05-07"
"고메","P101-415000400-0035","고메로마콰트로포르마지피자","씨제이제일제당㈜","과자류·빵류 또는 떡류","빵류","100g","313.000","12.26","7.42","594.000","6.45","20180450285200","2026-05-07"
"고메","P123-216020300-0005","고메로제치킨","씨제이푸드빌주식회사","즉석식품류","즉석조리식품","100g","122.000","9.44","5.00","550.000","3.89","199804430141414","2026-05-07"
"고메","P123-206020300-0019","고메머쉬룸어니언수프","주식회사 동방푸드마스타","즉석식품류","즉석조리식품","100g","117.000","1.11","1.67","250.000","6.11","199104450776669","2026-05-07"
"고메","P117-800050200-0013","고메미니치킨너겟","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","분쇄가공육제품","100g","290.000","14.00","1.00","560.000","4.60","2018042302875","2026-05-07"
"고메","P113-206020400-4133","고메믹스 수수 멀티 소스","얼스팜","조미식품","소스","100g","125.000","3.00","11.00","710.000","0.00","201706160909","2026-05-07"
"고메","P112-013001300-0388","고메믹스 수수핫소스","얼스팜","장류","혼합장","100g","158.000","4.00","18.00","1,164.000","0.00","201706160908","2026-05-07"
"고메","P116-302030200-0733","고메믹스너트","주식회사 착한습관","농산가공식품류","땅콩 또는 견과류가공품","100g","541.000","12.70","27.90","5.00","3.40","20180387407121","2026-05-07"
"고메","P101-424000400-1612","고메밀크도우 A","(주)비에스비푸드","과자류·빵류 또는 떡류","빵류","100g","239.000","9.00","3.00","467.000","0.60","202505510382","2026-05-14"
"고메","P101-424000400-1613","고메밀크도우 B","(주)비에스비푸드","과자류·빵류 또는 떡류","빵류","100g","239.000","9.00","3.00","467.000","0.60","202505510383","2026-05-14"
"고메","P101-424000400-1614","고메밀크도우 C","(주)비에스비푸드","과자류·빵류 또는 떡류","빵류","100g","239.000","9.00","3.00","467.000","0.60","202505510384","2026-05-14"
"고메","P101-415000400-0036","고메바르셀로나칠리감바스피자","씨제이제일제당㈜","과자류·빵류 또는 떡류","빵류","100g","251.000","9.71","8.00","583.000","5.43","20180450285203","2026-05-07"
"고메","P117-800080000-0004","고메바삭쫄깃한사천탕수육","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","해당없음","100g","260.000","8.00","11.00","410.000","3.30","2018045028532","2026-05-07"
"고메","P117-800080000-0005","고메바삭쫄깃한탕수육","씨제이제일제당(주)진천BLOSSOM CAMPUS","식육가공품 및 포장육","해당없음","100g","205.000","8.00","13.00","410.000","1.60","2018045028526","2026-05-07"
"고메","P101-407000400-1074","고메버터 건포도 브리오슈 식빵","주식회사 와밀","과자류·빵류 또는 떡류","빵류","100g","367.000","8.00","11.00","88.00","6.00","2025055513937","2026-05-07"
"고메","P120-301030100-0135","고메버터 맥반석오다리","(주)현복식품","수산가공식품류","조미건어포","100g","236.000","29.92","14.29","773.000","1.24","19940386221190","2026-05-07"
"고메","P101-407000400-1075","고메버터 브리오슈 식빵","주식회사 와밀","과자류·빵류 또는 떡류","빵류","100g","365.000","10.00","8.00","260.000","10.00","2025055513936","2026-05-07"
"고메","P101-426000400-0378","고메버터 소금빵","주식회사티베이크모어","과자류·빵류 또는 떡류","빵류","100g","407.000","7.00","12.00","440.000","13.00","2025055155725","2026-05-07"
"고메","P101-405000400-4012","고메버터 양과자","주식회사 혜민당","과자류·빵류 또는 떡류","빵류","100g","454.000","5.00","12.00","63.00","17.60","2023005799213","2026-05-07"
"고메","P101-426000400-0350","고메버터 오징어먹물 소금빵","주식회사티베이크모어","과자류·빵류 또는 떡류","빵류","100g","368.000","8.00","12.00","440.000","13.00","202505515577","2026-05-07"
"고메","P124-200020000-1458","고메버터 파우더","셀플러스","기타식품류","해당없음","100g","322.000","2.00","44.00","449.000","11.00","20110304511429","2026-05-07"
"고메","P101-406000400-0165","고메버터미트스콘","킴스케이크","과자류·빵류 또는 떡류","빵류","100g","238.000","8.55","1.35","400.000","7.80","2021033685164","2026-05-07"
"고메","P101-407000400-0021","고메버터밀푀유데니쉬식빵","(주)아프로푸드","과자류·빵류 또는 떡류","빵류","100g","378.000","5.00","6.00","435.000","0.00","20200070614116","2026-05-07"
"고메","P101-405000400-4603","고메버터바","(주)비엘컴퍼니 2공장","과자류·빵류 또는 떡류","빵류","100g","459.000","4.71","24.71","171.000","2.35","2023045135326","2026-05-07"
"고메","P101-407000400-0531","고메버터식빵","행복모아 주식회사","과자류·빵류 또는 떡류","빵류","100g","345.000","9.23","5.13","407.000","6.67","20210374689153","2026-05-07"
"고메","P101-406000400-0166","고메버터에그스콘","킴스케이크","과자류·빵류 또는 떡류","빵류","100g","333.000","6.67","10.00","155.000","10.00","2021033685163","2026-05-07"
"고메","P120-301030100-0136","고메버터즉석오달다리","(주)현복식품","수산가공식품류","조미건어포","100g","202.000","23.28","11.34","655.000","2.13","19940386221189","2026-05-07"
"고메","P101-424000400-1615","고메버터플레인스콘생지","아우어푸드","과자류·빵류 또는 떡류","빵류","100g","437.000","5.00","14.00","497.000","14.00","20200335509131","2026-05-14"
"고메","P123-224020200-0047","고메버터햄치즈샌드","(주)현대푸드시스템","즉석식품류","즉석섭취식품","100g","311.000","7.38","6.56","590.000","4.92","201305280411312","2026-05-07"
"고메","P101-405000400-0133","고메베이커리뺑오레쟁","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","331.000","6.25","13.75","363.000","10.00","198504330152040","2026-05-07"
"고메","P101-405000400-0134","고메베이커리뺑오쇼콜라","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","408.000","6.67","15.00","367.000","15.00","198504330152041","2026-05-07"
"고메","P101-405000400-0135","고메베이커리애플턴오버","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","285.000","5.00","9.00","200.000","6.00","198504330152046","2026-05-07"
"고메","P101-405000400-0136","고메베이커리치즈볼","㈜우양","과자류·빵류 또는 떡류","빵류","100g","317.000","5.19","9.63","493.000","4.81","20150472063551","2026-05-07"
"고메","P101-410000400-0019","고메베이커리크로와상","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","375.000","7.00","8.00","580.000","13.00","198504330152039","2026-05-07"
"고메","P101-412000400-0367","고메베이커리크림치즈파이","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","380.000","6.00","9.00","300.000","10.00","198504330152044","2026-05-07"
"고메","P101-406000400-0007","고메베이커리플레인스콘","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","310.000","6.00","9.00","550.000","7.00","198504330152048","2026-05-07"
"고메","P101-415000400-0037","고메베이커리피자볼","㈜우양","과자류·빵류 또는 떡류","빵류","100g","317.000","5.19","9.63","493.000","4.81","20150472063550","2026-05-07"
"고메","P101-405000400-0137","고메베이커리후랑크페스츄리","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","330.000","10.00","6.00","670.000","9.00","198504330152042","2026-05-07"
"고메","P101-405000400-0138","고메베이크불고기페스츄리","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","288.000","11.96","6.52","543.000","8.70","198504330152049","2026-05-07"
"고메","P101-405000400-0139","고메베이크치킨페스츄리","서울식품공업㈜","과자류·빵류 또는 떡류","빵류","100g","321.000","11.96","6.52","511.000","9.78","198504330152050","2026-05-07"
"고메","P101-415000400-0038","고메불고기피자","씨제이제일제당㈜","과자류·빵류 또는 떡류","빵류","100g","246.000","10.37","8.15","496.000","3.95","20180450285205","2026-05-07"
"고메","P123-206020300-0020","고메브로콜리치즈수프","주식회사 동방푸드마스타","즉석식품류","즉석조리식품","100g","100.000","1.11","1.67","278.000","4.44","199104450776742","2026-05-07"
"고메","P101-405000400-0140","고메사이드바이츠치즈볼","㈜우양","과자류·빵류 또는 떡류","빵류","100g","333.000","5.19","11.48","444.000","6.30","20150472063328","2026-05-07"
"고메","P123-201020300-0372","고메삼선해물볶음밥","씨제이제일제당(주)진천BLOSSOM CAMPUS","즉석식품류","즉석조리식품","100g","179.000","4.76","0.95","414.000","1.33","2018045028586","2026-05-07"
"고메","P101-426000400-0231","고메소금빵","㈜ 유로베이크","과자류·빵류 또는 떡류","빵류","100g","440.000","11.43","2.86","594.000","14.29","201503472991102","2026-05-07"
"고메","P101-205000200-3394","고메스위츠 사워애플 젤리","COCOCHOCOLATIER","과자류·빵류 또는 떡류","캔디류","100g","340.000","0.10","58.00","172.000","0.10","24GB0OW00D6","2026-05-07"
"고메","P101-205000200-3395","고메스위츠 탠지피지체리 젤리","COCOCHOCOLATIER","과자류·빵류 또는 떡류","캔디류","100g","340.000","0.10","58.00","176.000","0.10","24GB0OX00D3","2026-05-07"
"고메","P101-424000400-1616","고메스콘생지(냉동)","주식회사경남제과","과자류·빵류 또는 떡류","빵류","100g","310.000","6.00","9.00","550.000","7.00","20010247810322","2026-05-14"
"고메","P101-405000400-2756","고메앙버터 소금빵","부천혜림직업재활시설","과자류·빵류 또는 떡류","빵류","100g","411.000","5.70","17.78","264.000","8.31","20000294072117","2026-05-07"
"고메","P119-900090100-1672","고메온 모짜렐라 치즈","㈜명세","유가공품류","치즈","100g","291.000","24.80","0.20","342.000","13.10","20050262009158","2026-05-07"
"고메","P101-404000400-0006","고메올리브베이글","(주)고메베이글","과자류·빵류 또는 떡류","빵류","100g","255.000","10.00","5.45","500.000","0.00","20090275055291","2026-05-07"
"고메","P105-001000200-0452","고메이 494 둥글레밀크잼","(주)꽃담에프앤씨","잼류","기타잼","100g","323.000","5.44","54.92","72.00","3.37","2017032160846","2026-05-07"
